Rank,u,u_label,v,v_label,Edge name,flow volume
1,16,Échangeur 1,17,Masina,Échangeur 1 - Masina,2178.903999999999
2,16,Échangeur 1,29,Limete PL,Échangeur 1 - Limete PL,1799.8999992511406
3,2,Triangle Matadi Kibala,28,Wenze Matadi Kibala,Triangle Matadi Kibala - Wenze Matadi Kibala,1670.3400000000004
4,27,Benseke,28,Wenze Matadi Kibala,Benseke - Wenze Matadi Kibala,1670.3400000000004
5,1,Route de Matadi (border Kinshasa),27,Benseke,Route de Matadi (border Kinshasa) - Benseke,1670.3400000000004
6,10,Pierre Mulele,14,Bd Triomphal,Pierre Mulele - Bd Triomphal,1619.9262938141317
7,6,Bd du 30 Juin,10,Pierre Mulele,Bd du 30 Juin - Pierre Mulele,1602.8314032339072
8,2,Triangle Matadi Kibala,11,Triangle Campus,Triangle Matadi Kibala - Triangle Campus,1561.345704282878
9,11,Triangle Campus,12,Rond Point Ngaba,Triangle Campus - Rond Point Ngaba,1561.3457042700554
10,7,Gare Centrale,29,Limete PL,Gare Centrale - Limete PL,1553.8999993943576
11,13,Av. de l'Université,30,Limete R,Av. de l'Université - Limete R,1543.9382392702062
12,15,Lemba,16,Échangeur 1,Lemba - Échangeur 1,1526.3057596495303
13,16,Échangeur 1,30,Limete R,Échangeur 1 - Limete R,1427.0857603598768
14,13,Av. de l'Université,14,Bd Triomphal,Av. de l'Université - Bd Triomphal,1378.6822937495754
15,6,Bd du 30 Juin,7,Gare Centrale,Bd du 30 Juin - Gare Centrale,1327.907999181925
16,18,Av. Ndjoku,19,Aéroport Ndjili,Av. Ndjoku - Aéroport Ndjili,1158.004
17,17,Masina,18,Av. Ndjoku,Masina - Av. Ndjoku,1158.004
18,12,Rond Point Ngaba,15,Lemba,Rond Point Ngaba - Lemba,1067.7617593610441
19,5,Mont Ngaliema,6,Bd du 30 Juin,Mont Ngaliema - Bd du 30 Juin,1021.9885958353534
20,2,Triangle Matadi Kibala,3,UPN,Triangle Matadi Kibala - UPN,896.6862936027453
21,9,Sanatorium,10,Pierre Mulele,Sanatorium - Pierre Mulele,725.2016977083767
22,8,Selembao (Auto Stop),9,Sanatorium,Selembao (Auto Stop) - Sanatorium,614.0096976463436
23,3,UPN,8,Selembao (Auto Stop),UPN - Selembao (Auto Stop),605.8096975686134
24,20,Nsele,21,RP Nsele,Nsele - RP Nsele,541.6920000000001
25,21,RP Nsele,22,Menkao,RP Nsele - Menkao,541.6920000000001
26,19,Aéroport Ndjili,20,Nsele,Aéroport Ndjili - Nsele,541.6920000000001
27,12,Rond Point Ngaba,13,Av. de l'Université,Rond Point Ngaba - Av. de l'Université,462.09594380309534
28,3,UPN,4,Av. de l'École – Binza,UPN - Av. de l'École – Binza,290.87659566358667
29,4,Av. de l'École – Binza,5,Mont Ngaliema,Av. de l'École – Binza - Mont Ngaliema,249.2205955344172
30,11,Triangle Campus,25,UNIKIN,Triangle Campus - UNIKIN,1.2822972598638143e-08
31,12,Rond Point Ngaba,25,UNIKIN,Rond Point Ngaba - UNIKIN,1.2822972598634996e-08
32,21,RP Nsele,23,Maluku,RP Nsele - Maluku,-1.6634280160612448e-12
33,25,UNIKIN,26,Kimwenza 2,UNIKIN - Kimwenza 2,-1.6634280160612464e-12
34,2,Triangle Matadi Kibala,24,Arrêt Gare,Triangle Matadi Kibala - Arrêt Gare,-1.6634280160612464e-12
