Rank,u,u_label,v,v_label,Edge name,flow volume
1,16,Échangeur 1,17,Masina,Échangeur 1 - Masina,2178.903999999999
2,16,Échangeur 1,29,Limete PL,Échangeur 1 - Limete PL,1802.6879995261238
3,6,Bd du 30 Juin,10,Pierre Mulele,Bd du 30 Juin - Pierre Mulele,1724.7879991809511
4,27,Benseke,28,Wenze Matadi Kibala,Benseke - Wenze Matadi Kibala,1670.3399999999997
5,2,Triangle Matadi Kibala,28,Wenze Matadi Kibala,Triangle Matadi Kibala - Wenze Matadi Kibala,1670.3399999999997
6,1,Route de Matadi (border Kinshasa),27,Benseke,Route de Matadi (border Kinshasa) - Benseke,1670.3399999999997
7,2,Triangle Matadi Kibala,11,Triangle Campus,Triangle Matadi Kibala - Triangle Campus,1654.5959985605425
8,11,Triangle Campus,12,Rond Point Ngaba,Triangle Campus - Rond Point Ngaba,1654.5959985505551
9,15,Lemba,16,Échangeur 1,Lemba - Échangeur 1,1651.1735356698475
10,7,Gare Centrale,29,Limete PL,Gare Centrale - Limete PL,1556.6879994532085
11,16,Échangeur 1,30,Limete R,Échangeur 1 - Limete R,1549.1655363922612
12,10,Pierre Mulele,14,Bd Triomphal,Pierre Mulele - Bd Triomphal,1523.8879997139318
13,13,Av. de l'Université,30,Limete R,Av. de l'Université - Limete R,1421.8584633140135
14,6,Bd du 30 Juin,7,Gare Centrale,Bd du 30 Juin - Gare Centrale,1325.1199991150552
15,13,Av. de l'Université,14,Bd Triomphal,Av. de l'Université - Bd Triomphal,1282.643999698587
16,12,Rond Point Ngaba,15,Lemba,Rond Point Ngaba - Lemba,1192.629535415755
17,18,Av. Ndjoku,19,Aéroport Ndjili,Av. Ndjoku - Aéroport Ndjili,1158.0039999999988
18,17,Masina,18,Av. Ndjoku,Masina - Av. Ndjoku,1158.0039999999988
19,5,Mont Ngaliema,6,Bd du 30 Juin,Mont Ngaliema - Bd du 30 Juin,897.2439997692827
20,2,Triangle Matadi Kibala,3,UPN,Triangle Matadi Kibala - UPN,803.4359994677432
21,9,Sanatorium,10,Pierre Mulele,Sanatorium - Pierre Mulele,756.6959996387218
22,8,Selembao (Auto Stop),9,Sanatorium,Selembao (Auto Stop) - Sanatorium,645.503999591183
23,3,UPN,8,Selembao (Auto Stop),UPN - Selembao (Auto Stop),637.3039995288885
24,20,Nsele,21,RP Nsele,Nsele - RP Nsele,541.6919999999999
25,21,RP Nsele,22,Menkao,RP Nsele - Menkao,541.6919999999999
26,19,Aéroport Ndjili,20,Nsele,Aéroport Ndjili - Nsele,541.6919999999999
27,12,Rond Point Ngaba,13,Av. de l'Université,Rond Point Ngaba - Av. de l'Université,430.47846223694063
28,3,UPN,4,Av. de l'École – Binza,UPN - Av. de l'École – Binza,166.1319996113396
29,4,Av. de l'École – Binza,5,Mont Ngaliema,Av. de l'École – Binza - Mont Ngaliema,124.47599949331611
30,12,Rond Point Ngaba,25,UNIKIN,Rond Point Ngaba - UNIKIN,9.988128336788076e-09
31,11,Triangle Campus,25,UNIKIN,Triangle Campus - UNIKIN,9.988128336788076e-09
32,25,UNIKIN,26,Kimwenza 2,UNIKIN - Kimwenza 2,0.0
33,21,RP Nsele,23,Maluku,RP Nsele - Maluku,0.0
34,2,Triangle Matadi Kibala,24,Arrêt Gare,Triangle Matadi Kibala - Arrêt Gare,0.0
